department;name;location;type;emission_intensity
78;Réseau de Saint Germain en Laye;Saint Germain en Laye;hot;0.242
78;Réseau d'Achères;Achères;hot;0.096
78;ZAC de la Noe;Chanteloup;hot;0.319
78;Quartier Grand Ouest et des Musiciens;Les Mureaux;hot;0.213
78;Réseau de Vélizy;Vélizy-Villacoublay;hot;0.239
78;Domaine de Beauregard-Cogecel;La Celle Saint Cloud;hot;0.322
78;Réseau de Carrières-Chatou;Carrières sur Seine;hot;0.006
78;Réseau de Plaisir-Resop;Plaisir;hot;0.043
79;ZUP Le Clou Bouchet;Niort;hot;0.202
79;Réseau de Bressuire;Bressuire;hot;0.049
79;Réseau de l'Absie;L'Absie;hot;0.006
80;Etouvie;Amiens;hot;0.259
80;Réseau de Montdidier;Montdidier;hot;0.075
80;Réseau d'Abbeville;Abbeville;hot;0.106
81;Réseau de Carmaux;Carmaux;hot;0.259
81;Chauffage urbain de Mazamet;Mazamet;hot;0.072
81;Réseau de Castres Lameilhé;Castres;hot;0.041
81;Réseau de Gaillac-ZAC de Pouille;Gaillac;hot;0.04
81;Réseau de Graulhet;Graulhet;hot;0.017
81;Réseau d'Alban;Alban;hot;0.021
82;Réseau de Montauban-Setmo;Montauban;hot;0.02
82;Réseau de Caylus;Caylus;hot;0.267
83;Réseau La Beaucaire (UIOM);Toulon;hot;0
83;Berthe;La-Seyne-sur-Mer;hot;0.095
84;Le Triennal;Avignon;hot;0.217
85;Quartier Vendée;La-Roche-sur-Yon;hot;0.314
85;Réseau Les Herbiers;Les Herbiers;hot;0.054
85;Réseau de Saint-Pierre-du-Chemin;Saint-Pierre-du-Chemin;hot;0
86;ZUP des Couronneries;Poitiers;hot;0.078
86;Réseau de Civaux;Civaux;hot;0.067
87;ZUP Val de l'Aurence;Limoges;hot;0.038
87;ZAC de Beaubreuil;Limoges;hot;0.005
87;Quartier de l'Hôtel de Ville;Limoges;hot;0.219
88;Plateau de la Justice;Epinal;hot;0.138
88;Quartier Kellerman;Saint-Dié;hot;0.035
88;ZAD du Haut de Fol;Vittel;hot;0.144
88;Réseau de Fresse sur Moselle;Fresse sur Moselle;hot;0.02
89;ZUP des Grahuches;Sens;hot;0.015
89;ZUP de Sainte Geneviève;Auxerre;hot;0.241
89;Les Chaillots;Sens;hot;0.234
90;ZUP des Glacis;Belfort;hot;0.248
91;Réseau de Massy-Antony;Massy;hot;0.134
91;Réseau des Ulis-Thermulis;Les Ulis;hot;0.103
91;Réseau d'Evry;Evry;hot;0.168
91;Domaine du Bois des Roches;Saint-Michel-Sur-Orge;hot;0.262
91;Réseau de Grigny SOCCRAM;Grigny;hot;0.235
91;Réseau de Brétigny-sur-Orge;Brétigny-sur-orge;hot;0.093
91;Réseau de Dourdan;Dourdan;hot;0.259
91;CEA DIF;Bruyères-le-Chatel;hot;0.147
